Age,Gender,CivilStatus,Nationality,Education,StayLength,Industry,Tenure,Role,Income,POS_Recog_1,POS_Recog_2,POS_Recog_3,POS_Recog_4,POS_Recog_5,POS_Sup_1,POS_Sup_2,POS_Sup_3,POS_Sup_4,POS_Sup_5,POS_Cond_1,POS_Cond_2,POS_Cond_3,POS_Cond_4,POS_Cond_5,POS_Fair_1,POS_Fair_2,POS_Fair_3,POS_Fair_4,POS_Fair_5,ES_Int_1,ES_Int_2,ES_Int_3,ES_Int_4,ES_Int_5,ES_Ext_1,ES_Ext_2,ES_Ext_3,ES_Ext_4,ES_Ext_5,POS_Total_Mean,ES_Total_Mean,POS_Group
25 - 29 years old,Male,Married,Samoan,Doctorate Degree,5 years and above,Information Technology,Less than 6 months,Executive Level (Top level of Leadership),"Above $5,000",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,High Support
30 - 34 years old,Male,Married,Indian / India,Bachelor's Degree,1 - 2 years,Others,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,5,5.0,4.4,High Support
35 - 39 years old,Female,Married,Bangladesh ,Master's Degree,1 - 2 years,Healthcare,4 years and above,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4.95,4.6,High Support
30 - 34 years old,Female,Single,Filipino / Philippines,Bachelor's Degree,5 years and above,Information Technology,4 years and above,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",4,4,4,4,4,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
35 - 39 years old,Male,Married,Filipino / Philippines,Bachelor's Degree,5 years and above,Information Technology,4 years and above,"Workforce (Staff, Member, Worker, Entry-Level)","Above $5,000",4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,4,4,4,3,4,3,4,3,3,3,3.8,3.5,Moderate Support
30 - 34 years old,Male,Married,Filipino / Philippines,Bachelor's Degree,1 - 2 years,Others,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","$4,0001 - $5,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
25 - 29 years old,Female,Married,Indian / India,Bachelor's Degree,3 - 4 years,Healthcare,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,High Support
40 and above,Female,Married,Chinese / China,Bachelor's Degree,Less than 1 year,Information Technology,4 years and above,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",3,4,4,2,4,4,2,3,3,4,4,4,4,3,4,3,4,4,4,4,3,2,4,4,4,2,4,4,4,2,3.55,3.3,Moderate Support
25 - 29 years old,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",4,4,3,3,5,5,5,5,5,5,3,3,3,3,3,5,3,3,3,3,5,5,5,5,5,3,5,5,5,3,3.8,4.6,Moderate Support
40 and above,Male,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,Less than 1 year,Others,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
40 and above,Male,Married,Indian / India,Master's Degree,3 - 4 years,Information Technology,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,3,4,4,3,3,2,2,3,2,3,4.1,2.9,High Support
30 - 34 years old,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5.0,4.8,High Support
25 - 29 years old,Female,Married,Nepal,Master's Degree,1 - 2 years,Healthcare,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
30 - 34 years old,Female,Single,New Zealander / New Zealand,Doctorate Degree,3 - 4 years,Healthcare,Less than 6 months,Executive Level (Top level of Leadership),"Above $5,000",1,4,1,2,2,4,2,2,4,3,1,4,4,2,1,1,1,1,4,3,1,3,5,3,1,2,1,1,1,2,2.35,2.0,Low Support
25 - 29 years old,Female,Married,Mexico,Master's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,4,3,4,4,4,4,5,4,3,4,4,4,5,5,5,4,5,5,5,4,3,4,3,4,4,4,4,3,4,4.2,3.7,High Support
20 - 24 years old,Female,Single, Asian,Master's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4.95,5.0,High Support
35 - 39 years old,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Healthcare,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",5,5,4,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4.85,4.7,High Support
25 - 29 years old,Female,Single,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,3,4,4,4,5,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3.85,3.9,Moderate Support
30 - 34 years old,Female,Married,Indian / India,Bachelor's Degree,Less than 1 year,Education,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,4,2,3,4,3,2,4,4,2,3,4,3,3,4,4,3,4,3,4,3,4,3,4,2,4,3,4,3,3,3.3,3.3,Low Support
25 - 29 years old,Female,Married,Bangladesh ,Bachelor's Degree,Less than 1 year,Education,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",4,4,4,4,4,2,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3.75,4.0,Moderate Support
35 - 39 years old,Female,Married,Filipino / Philippines,Master's Degree,5 years and above,Healthcare,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",4,4,2,4,4,4,5,5,5,5,4,4,4,5,4,3,2,3,4,3,4,5,5,5,5,4,5,5,4,4,3.9,4.6,Moderate Support
30 - 34 years old,Male,Single,Chinese / China,Master's Degree,3 - 4 years,Hospitality / Tourism,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",5,5,5,5,5,5,5,4,3,3,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,4,3,4.55,4.2,High Support
35 - 39 years old,Female,Single,Chinese / China,Master's Degree,Less than 1 year,Education,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,3,4,4,4,3,4,5,4,4,3,2,2,3,3,2,4,4,4,4,4,4,3,4,5,5,2,3,2,2,3.5,3.4,Moderate Support
40 and above,Female,Married,Chinese / China,Bachelor's Degree,Less than 1 year,Education,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,5,4,4,4,4,4,4,4,4,4,3.8,4.1,Moderate Support
40 and above,Female,Married,Chinese / China,Master's Degree,Less than 1 year,Business / Finance,4 years and above,"Workforce (Staff, Member, Worker, Entry-Level)","Above $5,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,4,3,3,3,4.0,3.3,Moderate Support
25 - 29 years old,Male,Married,Chinese / China,Bachelor's Degree,1 - 2 years,Hospitality / Tourism,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",2,1,2,2,1,1,1,3,4,4,3,3,3,2,4,2,2,4,4,3,3,2,2,4,5,1,5,5,1,1,2.55,2.9,Low Support
35 - 39 years old,Female,Married,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Information Technology,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
20 - 24 years old,Male,Married,Thai,Master's Degree,3 - 4 years,Hospitality / Tourism,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,3,4,4,4,3,4,4,4,4,3,4,3,4,4,4,4,5,4,3,4,5,4,5,5,4,4,4,4,5,3.8,4.4,Moderate Support
20 - 24 years old,Male,Widow/Widower,Thai,Master's Degree,3 - 4 years,Healthcare,2 -3 years,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,5,5,5,4,4,4,4,4,5,4,4,5,5,4,5,4,5,4,5,4,4,5,5,4,4,5,4,4,5,4.45,4.4,High Support
35 - 39 years old,Female,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,Less than 1 year,Others,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.95,4.0,Moderate Support
30 - 34 years old,Male,Married,Sri Lankan / Sri Lanka,Master's Degree,1 - 2 years,Business / Finance,4 years and above,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",4,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,4,4,3,4,3,3,3,3.05,3.7,Low Support
30 - 34 years old,Female,Single,Filipino / Philippines,Bachelor's Degree,1 - 2 years,Education,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","Above $5,000",3,3,2,3,4,4,4,4,5,4,3,2,3,4,5,4,5,3,4,5,3,5,5,3,4,1,4,4,3,2,3.7,3.4,Moderate Support
25 - 29 years old,Female,Single,Thai / Thailand,Master's Degree,1 - 2 years,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,5,3,4,5,4,4,4,4,4,5,4,5,5,5,5,4,4,4,5,4,5,4,3,3,2,3,2,4,3,4.35,3.3,High Support
40 and above,Female,Married,Fiji,Others,3 - 4 years,Healthcare,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$4,0001 - $5,000",5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.9,5.0,High Support
40 and above,Female,Married,Filipino / Philippines,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",5,5,4,5,5,5,5,5,5,4,4,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,4,4,5,5,4.75,4.7,High Support
30 - 34 years old,Female,Married,Mixed / Kazakhstan ,Master's Degree,Less than 1 year,Others,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",4,3,4,4,4,4,4,3,4,4,4,2,4,5,3,3,3,4,4,4,4,4,4,3,3,3,4,4,2,3,3.7,3.4,Moderate Support
25 - 29 years old,Male,Single,Indian / India,Master's Degree,1 - 2 years,Information Technology,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,4,4,4,4,5,3,3,2,3,3,3,3,4,2,3,3,3,3,4,4,3,3,3,2,2,3,3.25,3.0,Low Support
30 - 34 years old,Male,Widow/Widower,Sri Lankan / Sri Lanka,Master's Degree,1 - 2 years,Education,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",3,3,3,3,2,2,4,3,3,3,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3.25,3.1,Low Support
40 and above,Male,Married,Sri Lankan / Sri Lanka,Master's Degree,1 - 2 years,Information Technology,6 months to 1 year,Executive Level (Top level of Leadership),"Above $5,000",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,High Support
40 and above,Male,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,Less than 1 year,Information Technology,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,5,4,5,4,4,4,4,4,4.05,4.3,High Support
30 - 34 years old,Female,Single,Perú ,Bachelor's Degree,3 - 4 years,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Above $5,000",5,4,4,4,5,5,5,4,4,4,4,4,5,5,5,4,4,4,4,4,3,4,5,4,4,5,5,5,5,5,4.35,4.5,High Support
25 - 29 years old,Male,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,1 - 2 years,Information Technology,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","Above $5,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
25 - 29 years old,Female,Widow/Widower,Sri Lankan / Sri Lanka,Master's Degree,1 - 2 years,Business / Finance,Less than 6 months,Executive Level (Top level of Leadership),"Below $2,000",3,3,3,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.45,2.0,Low Support
40 and above,Male,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,3 - 4 years,Others,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$3,001 - $4,000",5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4.05,5.0,High Support
30 - 34 years old,Female,Married,Indonesia,Bachelor's Degree,3 - 4 years,Information Technology,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",2,3,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,3.6,3.6,Moderate Support
40 and above,Male,Married,Indonesia,Master's Degree,1 - 2 years,Information Technology,4 years and above,Executive Level (Top level of Leadership),"$4,0001 - $5,000",4,5,5,5,3,4,4,5,5,5,3,4,2,4,4,3,1,3,4,3,4,5,5,5,5,4,4,3,4,4,3.8,4.3,Moderate Support
30 - 34 years old,Male,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,4,4,4,3,3,4,3,4,3,4,4,3,3,3,4,4,4,3,4,3,4,4,4,3,3,4,4,4,4,3.55,3.7,Moderate Support
20 - 24 years old,Male,Single,Indian / India,Bachelor's Degree,Less than 1 year,Information Technology,Less than 6 months,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",3,2,3,4,5,3,2,4,3,2,3,3,4,5,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3.3,3.0,Low Support
35 - 39 years old,Female,Single,Filipino / Philippines,Bachelor's Degree,Less than 1 year,Information Technology,4 years and above,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",5,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5,5,2,3,5,4,4,4,5,5,5,5,5,5,5,4.45,4.7,High Support
40 and above,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,1 - 2 years,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
20 - 24 years old,Female,Married,Indian / India,Master's Degree,Less than 1 year,Business / Finance,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",1,2,3,4,3,2,4,4,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,4,2,3,4,4,4,4,3.3,3.4,Low Support
25 - 29 years old,Male,Single,Indian / India,Master's Degree,3 - 4 years,Hospitality / Tourism,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","Below $2,000",3,3,1,3,4,4,3,5,4,4,3,4,3,4,4,2,3,2,3,2,3,3,3,3,3,3,3,2,3,3,3.2,2.9,Low Support
20 - 24 years old,Female,Single,Chinese / China,Bachelor's Degree,1 - 2 years,Others,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,3,4,4,4,4,3,4,3,3,3,3,3,3,4,4,4.4,3.3,High Support
40 and above,Male,Married,Chinese / China,Master's Degree,1 - 2 years,Hospitality / Tourism,2 -3 years,Executive Level (Top level of Leadership),"$3,001 - $4,000",3,4,3,3,4,4,3,3,1,4,4,2,5,1,1,4,5,5,5,5,2,5,1,5,3,1,3,5,2,2,3.45,2.9,Low Support
35 - 39 years old,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,4,4,4,4,4,4,3,4,4,4,3.8,3.9,Moderate Support
20 - 24 years old,Female,Single,Indian / India,Master's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,High Support
35 - 39 years old,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3.75,3.5,Moderate Support
35 - 39 years old,Male,Married,Latin America / Chile 🇨🇱 ,Bachelor's Degree,1 - 2 years,Information Technology,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,4,3,4,4,5,5,4,4,4,3,4,3,4,4,4.5,4.0,High Support
40 and above,Male,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,4 years and above,Executive Level (Top level of Leadership),"$3,001 - $4,000",4,4,3,4,3,3,3,4,4,5,3,3,3,3,4,3,3,3,4,3,4,4,3,5,4,3,4,3,4,3,3.45,3.7,Low Support
30 - 34 years old,Female,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,5,4,4,4,4,5,4,4,4,4,4,4.15,4.1,High Support
30 - 34 years old,Female,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,Less than 1 year,Others,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,2,4,1,5,3,1,2,1,1,1,2,5,1,1,1,1,2,5,1,1,1,5,2,3,1,2,1,5,1,2.15,2.2,Low Support
25 - 29 years old,Male,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,1 - 2 years,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
20 - 24 years old,Male,Single,Indian / India,Master's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
35 - 39 years old,Male,Married,Bhutan,Bachelor's Degree,Less than 1 year,Others,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,Low Support
40 and above,Female,Married,Sri Lankan / Sri Lanka,Others,Less than 1 year,Business / Finance,Less than 6 months,Executive Level (Top level of Leadership),"Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
30 - 34 years old,Female,Single,Sri Lankan / Sri Lanka,Bachelor's Degree,Less than 1 year,Hospitality / Tourism,6 months to 1 year,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,3.95,4.7,Moderate Support
25 - 29 years old,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Information Technology,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$4,0001 - $5,000",4,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3.65,4.0,Moderate Support
30 - 34 years old,Male,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Others,6 months to 1 year,Executive Level (Top level of Leadership),"Below $2,000",3,3,3,3,3,2,2,3,3,3,3,3,3,3,2,2,4,3,4,3,4,3,3,3,2,3,3,3,4,3,2.9,3.1,Low Support
30 - 34 years old,Female,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,Less than 1 year,Hospitality / Tourism,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",5,5,4,4,1,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
40 and above,Male,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,Executive Level (Top level of Leadership),"Below $2,000",4,3,3,4,4,4,4,4,4,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.75,4.0,Moderate Support
30 - 34 years old,Male,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Information Technology,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4.0,3.9,Moderate Support
25 - 29 years old,Female,Married,Indian / India,Master's Degree,Less than 1 year,Business / Finance,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.85,5.0,High Support
30 - 34 years old,Female,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",3,4,3,3,4,3,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,3,3,3,4,4,3,4,4,3.65,3.6,Moderate Support
35 - 39 years old,Female,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,Less than 1 year,Others,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$2,001 - $3,000",4,4,4,4,3,3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.75,4.0,Moderate Support
30 - 34 years old,Female,Married,Sri Lankan / Sri Lanka,Master's Degree,Less than 1 year,Business / Finance,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
40 and above,Female,Married,Chinese / China,Master's Degree,5 years and above,Business / Finance,Less than 6 months,Executive Level (Top level of Leadership),"$2,001 - $3,000",3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.9,4.0,Moderate Support
25 - 29 years old,Male,Single,Chinese / China,Doctorate Degree,1 - 2 years,Education,6 months to 1 year,Executive Level (Top level of Leadership),"Below $2,000",2,2,3,2,1,3,2,3,2,3,2,3,3,4,3,2,3,3,3,2,2,2,2,1,4,4,4,4,4,3,2.55,3.0,Low Support
40 and above,Male,Married,Russia,Master's Degree,Less than 1 year,Others,4 years and above,Executive Level (Top level of Leadership),"Above $5,000",5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.9,5.0,High Support
35 - 39 years old,Male,Married,Chinese / China,Master's Degree,Less than 1 year,Education,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",4,5,4,5,5,4,4,5,4,4,5,4,4,4,5,4,4,4,5,5,3,3,2,4,4,3,4,5,3,4,4.4,3.5,High Support
30 - 34 years old,Male,Married,Chinese / China,Master's Degree,Less than 1 year,Education,4 years and above,Executive Level (Top level of Leadership),"$4,0001 - $5,000",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,High Support
35 - 39 years old,Female,Married,Russian/Russia,Master's Degree,Less than 1 year,Information Technology,2 -3 years,"Senior/Middle Management (Supervisor, Manager)","$3,001 - $4,000",5,5,3,3,4,4,3,4,5,4,5,4,2,5,5,4,4,2,4,3,4,2,4,4,3,1,3,3,3,3,3.9,3.0,Moderate Support
25 - 29 years old,Female,Single,Chinese / China,Master's Degree,1 - 2 years,Education,6 months to 1 year,"Senior/Middle Management (Supervisor, Manager)","$2,001 - $3,000",4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3.75,3.8,Moderate Support
40 and above,Female,Married,Chinese / China,Master's Degree,Less than 1 year,Business / Finance,4 years and above,"Workforce (Staff, Member, Worker, Entry-Level)","Above $5,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
30 - 34 years old,Female,Married,Vietnamese,Bachelor's Degree,1 - 2 years,Education,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","Below $2,000",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,Moderate Support
30 - 34 years old,Female,Married,Sri Lankan / Sri Lanka,Bachelor's Degree,Less than 1 year,Education,Less than 6 months,"Workforce (Staff, Member, Worker, Entry-Level)","$3,001 - $4,000",3,3,3,4,3,3,3,3,4,4,4,3,4,4,4,3,3,3,3,3,4,5,5,4,4,3,3,3,3,3,3.35,3.7,Low Support
